book_id,text_reviews_count,language_code,average_rating,authors,publication_year,title
6066819,3282.0,eng,3.49,"[{'author_id': '9212', 'role': ''}]",2009,Best Friends Forever
89375,2885.0,,3.91,"[{'author_id': '39054', 'role': ''}, {'author_id': '11099', 'role': ''}]",,90 Minutes in Heaven: A True Story of Death and Life
27220736,2409.0,eng,4.44,"[{'author_id': '3319233', 'role': ''}]",2016,Shoe Dog: A Memoir by the Creator of NIKE
18528190,2315.0,eng,3.92,"[{'author_id': '15811', 'role': ''}]",2014,Men Explain Things to Me
1113545,2035.0,,4.04,"[{'author_id': '25052', 'role': ''}]",2007,"The Candy Shop War (The Candy Shop War, #1)"
19057,9971.0,en-US,4.09,"[{'author_id': '11466', 'role': ''}]",,I Am the Messenger
19398490,2311.0,en-CA,4.31,"[{'author_id': '28186', 'role': ''}]",2014,All the Light We Cannot See
29780253,7703.0,eng,4.45,"[{'author_id': '15149526', 'role': ''}]",2016,Born a Crime: Stories From a South African Childhood
8369681,1722.0,eng,3.82,"[{'author_id': '2983974', 'role': ''}]",2011,Prom and Prejudice
14064,2651.0,eng,4.07,"[{'author_id': '8726', 'role': ''}]",1999,I Am Legend
17325147,2093.0,eng,4.14,"[{'author_id': '22159', 'role': ''}]",2013,"Left Drowning (Left Drowning, #1)"
186074,23413.0,eng,4.55,"[{'author_id': '108424', 'role': ''}]",2007,"The Name of the Wind (The Kingkiller Chronicle, #1)"
14975,2283.0,eng,3.55,"[{'author_id': '9343', 'role': ''}]",,"Labyrinth (Languedoc, #1)"
22738563,5388.0,eng,4.47,"[{'author_id': '11291', 'role': ''}]",2014,We Should All Be Feminists
7897620,1815.0,en-US,3.55,"[{'author_id': '6125', 'role': ''}]",,I Still Dream About You
17950614,1613.0,eng,4.48,"[{'author_id': '19564', 'role': ''}]",2014,"UnDivided (Unwind, #4)"
676924,4665.0,en-US,3.93,"[{'author_id': '17015', 'role': ''}, {'author_id': '17010', 'role': ''}]",,"Betrayed (House of Night, #2)"
4954833,7118.0,eng,3.63,"[{'author_id': '1351903', 'role': ''}]",2009,Brooklyn
64481,2728.0,eng,3.83,"[{'author_id': '36346', 'role': ''}]",2004,A Northern Light
13872,4565.0,eng,3.98,"[{'author_id': '8622', 'role': ''}]",2002,Geek Love
58027,1971.0,ger,3.98,"[{'author_id': '3472', 'role': ''}, {'author_id': '529502', 'role': 'Translator'}]",,Alias Grace
191113,2548.0,eng,4.29,"[{'author_id': '33274', 'role': ''}]",2004,Don't Let the Pigeon Drive the Bus!
59980,1790.0,eng,4.22,"[{'author_id': '15085', 'role': ''}, {'author_id': '28995', 'role': 'Illustrator'}, {'author_id': '821898', 'role': 'Colorist'}, {'author_id': '28710', 'role': 'Introduction'}]",2005,Batman: Year One
25065629,1915.0,eng,3.87,"[{'author_id': '1026791', 'role': ''}]",2015,Hunger Makes Me a Modern Girl
8683812,17667.0,eng,3.79,"[{'author_id': '290189', 'role': ''}]",2011,The Paris Wife
20881071,2219.0,eng,4.05,"[{'author_id': '12470', 'role': ''}]",2014,"The Burning Room (Harry Bosch, #19; Harry Bosch Universe, #26)"
11360892,1497.0,eng,4.14,"[{'author_id': '427613', 'role': ''}]",2011,Balloons Over Broadway: The True Story of the Puppeteer of Macy's Parade
6936382,20077.0,en-US,4.07,"[{'author_id': '3095893', 'role': ''}]",2010,"Anna and the French Kiss (Anna and the French Kiss, #1)"
28815474,8341.0,eng,3.74,"[{'author_id': '1278320', 'role': ''}]",2016,The Couple Next Door
